Unnamed: 0,Title,Artist,Top Genre,Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Genre
2114,skip.that.party,X Ambassadors;Jensen McRae,alt-rock,0.586,0.376,-7.165,0.0641,0.171,231532,0.0131,0.0434,0,Rock
2115,Mr. Jones,Counting Crows,alt-rock,0.836,0.571,-5.556,0.182,0.73,272733,0.194,0.0371,0,Rock
2116,A Long December,Counting Crows,alt-rock,0.59,0.403,-5.941,0.272,0.393,297293,0.508,0.0284,0,Rock
2118,Here Without You,3 Doors Down,alt-rock,0.545,0.556,-6.768,0.124,0.193,238560,0.0635,0.0255,0,Rock
2127,"The Sick, The Dying… And The Dead!",Megadeth,alt-rock,0.976,0.303,-3.583,0.0707,0.193,304053,0.00266,0.225,2,Rock
2128,Symphony Of Destruction,Megadeth,alt-rock,0.889,0.61,-5.452,0.0657,0.506,246733,0.000794,0.0585,0,Rock
2129,The Devil's Bleeding Crown,Volbeat,alt-rock,0.909,0.321,-4.612,0.0442,0.209,238653,1.62e-05,0.041,0,Rock
2134,Holy Wars...The Punishment Due - Remastered,Megadeth,alt-rock,0.985,0.327,-3.941,0.351,0.218,392600,0.00177,0.151,2,Rock
2135,Keep My Name Outta Your Mouth,The Black Keys,alt-rock,0.702,0.597,-4.767,0.125,0.645,189356,0.0197,0.0445,0,Rock
2137,Sorry Sack Of Bones,Volbeat,alt-rock,0.954,0.407,-3.753,0.0545,0.454,228666,0.000629,0.0532,0,Rock
2138,Never Gonna Give You Up,The Black Keys,alt-rock,0.665,0.557,-6.19,0.0713,0.437,218986,0.321,0.0328,0,Rock
2141,Burn The Witch,Queens of the Stone Age,alt-rock,0.819,0.452,-4.394,0.224,0.423,217213,0.175,0.0863,0,Rock
2145,Enganchate Conmigo,Andrés Calamaro;Juanes;Niño Josele,alt-rock,0.646,0.682,-9.274,0.0978,0.785,225616,0.576,0.0667,0,Rock
2151,feel something,Bea Miller,alt-rock,0.415,0.74,-8.914,0.319,0.156,180161,0.242,0.0707,71,Rock
2152,Oceans (Where Feet May Fail),Hillsong UNITED;TAYA,alt-rock,0.363,0.264,-10.196,0.11,0.0613,536000,0.501,0.0338,71,Rock
2153,Oh Caroline,The 1975,alt-rock,0.85,0.646,-5.466,0.0994,0.819,212568,0.363,0.0428,76,Rock
2158,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs;A-Trak,alt-rock,0.607,0.738,-3.933,0.0699,0.78,383893,0.00746,0.0845,0,Rock
2161,Way Down We Go,KALEO,alt-rock,0.506,0.492,-8.022,0.104,0.338,213706,0.58,0.118,2,Rock
2170,I Put A Spell On You,Marilyn Manson,alt-rock,0.801,0.611,-5.894,0.23,0.408,216735,0.00119,0.0733,0,Rock
2171,The Beautiful People,Marilyn Manson,alt-rock,0.948,0.609,-4.938,0.042,0.786,222773,0.00404,0.113,1,Rock
2173,In Over My Head,grandson,alt-rock,0.817,0.582,-6.475,0.575,0.622,198365,0.0017,0.0399,0,Rock
2177,Heads Will Roll,Yeah Yeah Yeahs,alt-rock,0.903,0.562,-4.46,0.298,0.791,221000,0.000187,0.0296,0,Rock
2178,The Fight Song,Marilyn Manson,alt-rock,0.983,0.499,-3.662,0.0728,0.0378,177440,0.000123,0.0882,1,Rock
2185,You And Me And The Devil Makes 3,Marilyn Manson,alt-rock,0.964,0.596,-5.754,0.203,0.399,264266,9.52e-05,0.0804,0,Rock
2189,Sweet Dreams (Are Made Of This),Marilyn Manson,alt-rock,0.664,0.221,-5.242,0.239,0.101,293293,0.0039,0.0379,2,Rock
2196,The Universal,Blur,alt-rock,0.546,0.32,-8.33,0.0928,0.263,238520,0.181,0.0278,1,Rock
2200,Tongue Tied,Grouplove,alt-rock,0.936,0.56,-5.835,0.161,0.371,218013,0.00847,0.0439,79,Rock
2205,Run for Your Life,The Seige,alt-rock,0.905,0.714,-5.137,0.0863,0.362,180137,0.0921,0.245,55,Rock
2206,The Adults Are Talking,The Strokes,alt-rock,0.749,0.593,-5.67,0.314,0.649,309053,0.0113,0.0475,79,Rock
2207,One Last Breath,Creed,alt-rock,0.677,0.386,-5.83,0.341,0.195,238240,0.00841,0.0346,72,Rock
2208,"10,000 Reasons (Bless The Lord) - Live",Matt Redman,alt-rock,0.485,0.431,-8.085,0.544,0.367,342493,0.452,0.0274,66,Rock
2215,I Want More,KALEO,alt-rock,0.531,0.55,-7.431,0.0509,0.364,212392,0.256,0.0309,0,Rock
2219,Cough Syrup,Young the Giant,alt-rock,0.721,0.533,-7.309,0.115,0.225,249520,0.0338,0.0417,0,Rock
2220,It's My Life,No Doubt,alt-rock,0.75,0.606,-4.535,0.321,0.771,225866,0.0026,0.0306,1,Rock
2222,Last Christmas,Jimmy Eat World,alt-rock,0.842,0.532,-6.152,0.33,0.715,267493,0.00131,0.0403,0,Rock
2225,I Just Wanna Shine,Fitz and The Tantrums,alt-rock,0.918,0.705,-2.771,0.0803,0.537,207925,0.0405,0.0678,0,Rock
2226,Christmas Card,Jimmy Eat World,alt-rock,0.93,0.196,-5.131,0.105,0.566,173560,0.0116,0.0519,0,Rock
2228,Mouth for War,Pantera,alt-rock,0.97,0.361,-5.69,0.039,0.561,236720,6.58e-06,0.0837,1,Rock
2233,Don't Speak,No Doubt,alt-rock,0.752,0.508,-5.439,0.142,0.554,262746,0.251,0.0343,0,Rock
2234,The Middle,Jimmy Eat World,alt-rock,0.848,0.644,-5.385,0.0676,0.928,166040,0.0358,0.0529,0,Rock
2235,Oi To The World,No Doubt,alt-rock,0.939,0.505,-4.165,0.0516,0.963,160586,0.00281,0.0415,0,Rock
2237,Hey Baby,No Doubt;Bounty Killer,alt-rock,0.871,0.705,-3.557,0.226,0.749,207040,0.0618,0.123,0,Rock
2238,Black Hole Sun,Soundgarden,alt-rock,0.827,0.351,-5.351,0.0755,0.145,318586,0.000222,0.0412,0,Rock
2246,Just A Girl,No Doubt,alt-rock,0.937,0.635,-2.86,0.134,0.78,205946,0.0735,0.0452,1,Rock
2251,"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike;Zendaya,alt-rock,0.327,0.394,-14.291,0.125,0.411,150320,0.849,0.114,70,Rock
2253,Carnival of Rust,Poets of the Fall,alt-rock,0.59,0.492,-4.593,0.0973,0.124,262946,0.225,0.0239,56,Rock
2255,Welcome to the Fire,Willyecho,alt-rock,0.522,0.597,-5.683,0.0854,0.334,202250,0.297,0.0331,52,Rock
2256,The Man Who Sold The World,Nirvana,alt-rock,0.753,0.483,-8.937,0.257,0.42,261093,0.425,0.0832,76,Rock
2259,Heart-Shaped Box,Nirvana,alt-rock,0.641,0.256,-10.283,0.0853,0.382,281160,0.199,0.0552,79,Rock
2260,Can't Stop,Red Hot Chili Peppers,alt-rock,0.938,0.618,-3.442,0.167,0.875,269000,0.0179,0.0456,82,Rock
2261,Moments Like This,The Afters,alt-rock,0.837,0.497,-3.672,0.0763,0.489,239986,0.0155,0.046,56,Rock
2263,Holiday Rock,Neon Trees,alt-rock,0.818,0.529,-6.622,0.354,0.684,177345,6.5e-05,0.04,0,Rock
2279,Cryin' Like A Bitch!!,Godsmack,alt-rock,0.808,0.548,-5.484,0.114,0.475,201666,7.19e-05,0.0398,1,Rock
2280,Iron Head,Rob Zombie;Ozzy Osbourne,alt-rock,0.924,0.527,-4.503,0.705,0.324,251200,7.92e-05,0.0367,0,Rock
2281,Living Dead Girl,Rob Zombie,alt-rock,0.948,0.518,-5.579,0.228,0.548,201400,0.00512,0.0676,2,Rock
2282,Bitter Sweet Symphony - Remastered 2016,The Verve,alt-rock,0.917,0.356,-6.005,0.406,0.523,357266,0.0336,0.0487,0,Rock
2300,Cry Baby,The Neighbourhood,alt-rock,0.656,0.581,-4.891,0.101,0.338,235160,0.00269,0.0294,74,Rock
2301,About You,The 1975,alt-rock,0.762,0.416,-7.385,0.0559,0.461,326490,0.312,0.0279,73,Rock
2303,Pretty Boy,The Neighbourhood,alt-rock,0.386,0.578,-11.464,0.307,0.569,234093,0.208,0.0278,75,Rock
2304,Where Is My Mind?,Pixies,alt-rock,0.442,0.513,-13.529,0.0878,0.243,229226,0.00731,0.0343,77,Rock
2306,This fffire - New Version,Franz Ferdinand,alt-rock,0.887,0.442,-5.943,0.0655,0.637,218080,0.0259,0.1,76,Rock
2307,It's Not Living (If It's Not With You),The 1975,alt-rock,0.837,0.618,-5.338,0.0618,0.526,248335,0.000254,0.0304,73,Rock
2308,The 1975,The 1975,alt-rock,0.433,0.542,-10.47,0.101,0.495,250900,0.897,0.0305,71,Rock
2309,Under the Bridge,Red Hot Chili Peppers,alt-rock,0.345,0.559,-13.496,0.141,0.458,264306,0.0576,0.0459,82,Rock
2310,The Mystic,Adam Jensen,alt-rock,0.72,0.556,-5.132,0.146,0.405,189600,0.358,0.0415,68,Rock
2311,Where Is My Mind? - Remastered,Pixies,alt-rock,0.441,0.519,-14.178,0.076,0.25,234973,0.0204,0.0353,79,Rock
2312,Bitter Sweet Symphony,The Verve,alt-rock,0.917,0.356,-6.006,0.406,0.518,357266,0.0335,0.0479,80,Rock
2315,Flowers In December,Mazzy Star,alt-rock,0.229,0.59,-13.174,0.0854,0.168,297893,0.115,0.0301,3,Rock
2319,Honeybrains,Royal Blood,alt-rock,0.8,0.523,-5.243,0.398,0.604,186847,0.00537,0.101,3,Rock
2320,Shatter - Edit,Bullet For My Valentine,alt-rock,0.923,0.413,-4.487,0.0883,0.504,281757,9.24e-06,0.053,0,Rock
2321,Soun Tha Mi Primer Amor - Remastered,Kinky,alt-rock,0.838,0.83,-6.77,0.073,0.829,191000,0.0805,0.0776,54,Rock
2322,Joy To The World (Unspeakable Joy),Chris Tomlin,alt-rock,0.876,0.418,-5.157,0.829,0.341,230720,0.00187,0.0529,1,Rock
2331,Trouble's Coming,Royal Blood,alt-rock,0.694,0.767,-5.059,0.32,0.78,228400,0.0629,0.0384,0,Rock
2332,Figure It Out,Royal Blood,alt-rock,0.817,0.657,-4.415,0.248,0.651,184053,0.262,0.0554,0,Rock
2351,Unsteady,X Ambassadors,alt-rock,0.665,0.389,-6.169,0.116,0.199,193546,0.178,0.0644,74,Rock
2352,Take on the World,You Me At Six,alt-rock,0.532,0.559,-6.461,0.0927,0.11,271306,0.157,0.0302,40,Rock
2362,Ghost Town,Layto;Neoni,alt-rock,0.643,0.631,-5.656,0.0937,0.528,193846,0.0658,0.053,62,Rock
2363,Looking For Somebody (To Love),The 1975,alt-rock,0.957,0.522,-4.924,0.144,0.917,178617,0.0515,0.0687,72,Rock
2364,Part Of The Band,The 1975,alt-rock,0.51,0.714,-8.216,0.253,0.832,260148,0.76,0.0453,69,Rock
2366,Killing In The Name,Rage Against The Machine,alt-rock,0.833,0.466,-4.215,0.0327,0.661,313573,0.0266,0.304,80,Rock
2369,Playground (from the series Arcane League of Legends),Bea Miller;Arcane;League of Legends,alt-rock,0.703,0.514,-6.859,0.13,0.356,230525,0.0107,0.0298,70,Rock
2370,The Resistance,Skillet,alt-rock,0.941,0.483,-3.598,0.31,0.503,232066,0.000526,0.0575,69,Rock
2372,Unstoppable Now,The Phantoms,alt-rock,0.791,0.64,-5.342,0.0802,0.311,221576,0.000627,0.0647,44,Rock
2374,You And Me,Lifehouse,alt-rock,0.427,0.459,-7.733,0.168,0.357,195493,0.112,0.0267,1,Rock
2375,Dead Man's Arms,Bishop Briggs,alt-rock,0.508,0.535,-5.996,0.0993,0.236,245173,0.233,0.0318,1,Rock
2382,JEKYLL & HIDE,Bishop Briggs,alt-rock,0.602,0.596,-4.876,0.0821,0.611,196346,0.0352,0.0413,0,Rock
2383,River,Bishop Briggs,alt-rock,0.484,0.726,-6.708,0.0874,0.561,214280,0.274,0.0477,0,Rock
2384,Deep Inside of You,Third Eye Blind,alt-rock,0.558,0.508,-6.605,0.0822,0.16,250293,0.00351,0.0238,0,Rock
2387,Headful of Ghosts,Bush,alt-rock,0.706,0.432,-5.061,0.378,0.29,261293,0.00108,0.0426,0,Rock
2388,"Baby, It’s Cold Outside",Barns Courtney;Lennon Stella,alt-rock,0.637,0.678,-5.144,0.0334,0.715,115867,0.559,0.0866,0,Rock
2389,Love Will Tear Us Apart,Joy Division,alt-rock,0.902,0.524,-8.662,0.137,0.907,204621,0.000989,0.0368,0,Rock
2390,Bring On The Holidays,TobyMac,alt-rock,0.723,0.588,-6.537,0.047,0.329,205482,0.0908,0.0298,0,Rock
2394,All I Need For Christmas,TobyMac;Terrian,alt-rock,0.762,0.638,-4.053,0.0523,0.736,181764,0.0583,0.0976,0,Rock
2395,Christmas This Year,TobyMac;Leigh Nash,alt-rock,0.795,0.666,-3.762,0.365,0.735,210680,0.0753,0.0302,0,Rock
2402,Otherside,Red Hot Chili Peppers,alt-rock,0.795,0.458,-3.265,0.0756,0.513,255373,0.00316,0.0574,80,Rock
2404,Scar Tissue,Red Hot Chili Peppers,alt-rock,0.717,0.595,-4.803,0.108,0.547,215906,0.0779,0.0295,79,Rock
2405,How You Remind Me,Nickelback,alt-rock,0.764,0.446,-5.042,0.099,0.543,223840,0.00135,0.033,80,Rock
2408,Dark Necessities,Red Hot Chili Peppers,alt-rock,0.742,0.7,-6.777,0.11,0.197,302000,0.0722,0.0716,74,Rock
2409,Lithium,Nirvana,alt-rock,0.656,0.678,-6.41,0.0631,0.485,257053,0.00174,0.0381,73,Rock
2410,Lost In The Wild,WALK THE MOON,alt-rock,0.77,0.483,-4.829,0.182,0.386,235960,0.007,0.0512,67,Rock
2414,The Kid I Used to Know,Arrested Youth,alt-rock,0.776,0.639,-4.61,0.18,0.267,145801,0.0731,0.0829,66,Rock
2415,Way Maker - Live,Leeland,alt-rock,0.524,0.432,-8.721,0.682,0.183,503240,0.0289,0.0321,67,Rock
2417,Who Am I,Casting Crowns,alt-rock,0.472,0.545,-7.552,0.0684,0.193,335906,0.434,0.0279,65,Rock
2418,The Fear,The Score,alt-rock,0.628,0.498,-5.709,0.362,0.218,183853,0.00686,0.0317,62,Rock
2425,Atmosphere,Joy Division,alt-rock,0.387,0.616,-11.813,0.116,0.435,249478,0.227,0.0314,1,Rock
2432,No Rain,Blind Melon,alt-rock,0.573,0.359,-6.054,0.136,0.562,217200,0.665,0.0326,0,Rock
2434,Rock and Roll,The Velvet Underground,alt-rock,0.738,0.494,-8.347,0.544,0.735,283000,0.00394,0.0345,0,Rock
2443,King for a Day,Faith No More,alt-rock,0.871,0.421,-9.193,0.19,0.384,395093,0.00608,0.0351,1,Rock
2450,Walking On A Dream,Empire of the Sun,alt-rock,0.701,0.871,-5.594,0.0589,0.716,198440,0.257,0.0458,79,Rock
2455,Wires,The Neighbourhood,alt-rock,0.569,0.568,-6.013,0.342,0.266,193080,0.0004,0.0329,71,Rock
2456,Devil's Advocate,The Neighbourhood,alt-rock,0.681,0.662,-8.152,0.508,0.864,186306,0.0321,0.0315,71,Rock
2459,Horns,Bryce Fox,alt-rock,0.753,0.49,-5.411,0.268,0.325,217625,0.081,0.238,66,Rock
2462,High and Dry,Radiohead,alt-rock,0.383,0.419,-11.782,0.0896,0.35,257480,0.0724,0.0256,75,Rock
2463,"Call It Fate, Call It Karma",The Strokes,alt-rock,0.241,0.544,-14.779,0.101,0.359,204773,0.983,0.03,72,Rock
2464,On And On,The Score,alt-rock,0.727,0.53,-5.179,0.212,0.385,215706,0.0387,0.0441,60,Rock
2467,Higher,The Score,alt-rock,0.745,0.449,-5.045,0.295,0.465,214613,0.00342,0.0327,60,Rock
2468,Never Going Back,The Score,alt-rock,0.619,0.546,-6.09,0.0585,0.625,197680,0.0122,0.042,61,Rock
2469,Nobody (feat. Matthew West),Casting Crowns;Matthew West,alt-rock,0.717,0.561,-5.72,0.138,0.455,206400,0.458,0.0381,67,Rock
2470,War of Change,Thousand Foot Krutch,alt-rock,0.887,0.531,-4.417,0.0657,0.626,231665,0.00261,0.0329,67,Rock
2473,How Great Is Our God,Chris Tomlin,alt-rock,0.573,0.318,-5.653,0.0854,0.0765,305426,0.107,0.0324,64,Rock
2478,Natural Born Killer,Highly Suspect,alt-rock,0.742,0.202,-5.29,0.128,0.155,196135,0.00169,0.124,5,Rock
2479,Back Round,Wolfmother,alt-rock,0.927,0.359,-4.906,0.0947,0.316,236866,2.68e-05,0.0676,0,Rock
2480,Miss World,Hole,alt-rock,0.722,0.331,-8.461,0.256,0.349,180066,0.00204,0.0408,0,Rock
2481,Noche Sensorial,Esteman,alt-rock,0.735,0.857,-5.223,0.0546,0.649,201000,0.145,0.0611,0,Rock
2482,Mil Horas,Los Abuelos De La Nada,alt-rock,0.474,0.706,-8.55,0.0789,0.545,165186,0.242,0.0598,0,Rock
2483,Woman,Wolfmother,alt-rock,0.94,0.236,-3.929,0.154,0.223,177186,2.15e-05,0.152,0,Rock
2500,R.I.P. 2 My Youth,The Neighbourhood,alt-rock,0.686,0.353,-5.704,0.123,0.177,205280,0.00216,0.0534,69,Rock
2501,Cherry Flavoured,The Neighbourhood,alt-rock,0.574,0.617,-9.768,0.0983,0.396,208453,0.23,0.0276,68,Rock
2502,Tonight You Are Mine,The Technicolors,alt-rock,0.6,0.634,-6.662,0.0796,0.64,230000,0.00203,0.0265,66,Rock
2508,Watch Over You,Alter Bridge,alt-rock,0.658,0.276,-5.418,0.161,0.16,259133,0.0836,0.0329,60,Rock
2509,Never Tear Us Apart,Bishop Briggs,alt-rock,0.6,0.372,-6.027,0.139,0.0753,194826,0.00643,0.0351,59,Rock
2513,Awake and Alive,Skillet,alt-rock,0.939,0.434,-2.983,0.491,0.569,209493,0.0425,0.0593,69,Rock
2517,Everybody Hurts,R.E.M.,alt-rock,0.324,0.467,-10.451,0.118,0.166,320266,0.615,0.0255,75,Rock
2518,Twisted,MISSIO,alt-rock,0.789,0.577,-4.661,0.214,0.149,222706,0.00532,0.0427,66,Rock
2519,Fake Plastic Trees,Radiohead,alt-rock,0.229,0.463,-12.592,0.202,0.135,290706,0.167,0.0297,72,Rock
2520,Money Run Low,The Score,alt-rock,0.933,0.651,-3.978,0.306,0.798,185466,0.0203,0.0457,61,Rock
2522,"Lord, I Need You",Matt Maher,alt-rock,0.451,0.457,-6.997,0.0928,0.185,205666,0.517,0.029,64,Rock
2523,Fear No More,The Afters,alt-rock,0.587,0.501,-5.587,0.0886,0.279,202478,0.218,0.0282,56,Rock
2524,Good Good Father,Chris Tomlin,alt-rock,0.587,0.429,-4.588,0.108,0.164,293398,0.315,0.0275,66,Rock
2535,Youth of the Nation,P.O.D.,alt-rock,0.897,0.555,-6.147,0.392,0.473,257398,0.00377,0.0645,0,Rock
2537,Wonderful Christmastime,The Shins,alt-rock,0.689,0.634,-5.406,0.114,0.899,146520,0.0109,0.0307,0,Rock
2544,Alive - Chris Lord-Alge Mix,P.O.D.,alt-rock,0.95,0.421,-3.985,0.314,0.553,205026,1.21e-05,0.0769,0,Rock
2550,My Type,Saint Motel,alt-rock,0.896,0.595,-2.951,0.0748,0.567,204811,0.0641,0.047,70,Rock
2552,Scary Love,The Neighbourhood,alt-rock,0.636,0.595,-5.981,0.196,0.147,222666,9.45e-05,0.0312,69,Rock
2555,Tears Don't Fall,Bullet For My Valentine,alt-rock,0.931,0.214,-3.347,0.0797,0.233,348386,0.000705,0.143,65,Rock
2556,Victorious,The Score,alt-rock,0.715,0.509,-6.328,0.468,0.277,196616,0.0303,0.0419,53,Rock
2557,Cult of Personality,Living Colour,alt-rock,0.918,0.504,-3.463,0.78,0.539,294826,0.00164,0.0517,68,Rock
2558,Burn It to the Ground,Nickelback,alt-rock,0.922,0.617,-3.474,0.363,0.6,212346,0.000247,0.0744,73,Rock
2560,About A Girl,Nirvana,alt-rock,0.932,0.409,-4.538,0.31,0.591,166640,1.87e-05,0.0339,74,Rock
2561,White Flag,Bishop Briggs,alt-rock,0.805,0.524,-4.08,0.209,0.354,230586,0.062,0.065,61,Rock
2562,"You're Gonna Go Far, Kid",The Offspring,alt-rock,0.917,0.55,-3.159,0.197,0.601,177826,0.00428,0.0638,81,Rock
2565,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",Matt Redman,alt-rock,0.561,0.459,-7.091,0.0998,0.306,256933,0.0839,0.0271,65,Rock
2586,The Man In The Santa Suit,Fountains Of Wayne,alt-rock,0.72,0.622,-6.578,0.109,0.948,160346,0.0525,0.0255,0,Rock
2587,Sorted For E's & Wizz,Pulp,alt-rock,0.9,0.507,-5.513,0.377,0.536,217666,0.226,0.0635,0,Rock
2588,"Come On, Christmas",Matthew West,alt-rock,0.846,0.586,-3.423,0.067,0.714,264293,0.0688,0.0433,0,Rock
2600,Baby Came Home 2 / Valentines,The Neighbourhood,alt-rock,0.499,0.21,-9.754,0.773,0.108,390493,0.0687,0.0485,71,Rock
2602,Love It If We Made It,The 1975,alt-rock,0.745,0.472,-5.297,0.0957,0.0631,252925,0.000607,0.0356,69,Rock
2606,I Always Wanna Die (Sometimes),The 1975,alt-rock,0.473,0.376,-5.636,0.123,0.0398,314662,0.00527,0.0325,65,Rock
2608,Cradled in Love,Poets of the Fall,alt-rock,0.474,0.592,-8.288,0.148,0.317,281826,0.557,0.0262,42,Rock
2610,Exit Music (For A Film),Radiohead,alt-rock,0.276,0.293,-11.357,0.167,0.195,267186,0.224,0.0349,73,Rock
2614,Hopeless Romance,Goodnight Fellows,alt-rock,0.349,0.643,-10.85,0.0669,0.798,211070,0.0329,0.0406,36,Rock
2616,Eye Of The Storm,Watt White,alt-rock,0.942,0.534,-4.15,0.141,0.629,199008,0.0121,0.0677,65,Rock
2621,This Is Amazing Grace,Phil Wickham,alt-rock,0.814,0.512,-5.467,0.0991,0.277,279786,0.00419,0.0327,65,Rock
