,Title,Artist,Top Genre,Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Genre
2036,A Great Big Sled,The Killers;Toni Halliday,alt-rock,0.872,0.532,-3.869,0.283,0.299,262586,0.00223,0.0636,0,Rock
2037,Don't Shoot Me Santa,The Killers;Ryan Pardey,alt-rock,0.847,0.588,-4.164,0.307,0.662,245106,0.0601,0.0705,0,Rock
2040,All My Favorite Songs,Weezer;AJR,alt-rock,0.7,0.605,-6.47,0.116,0.588,170720,0.00998,0.0277,0,Rock
2043,Joy Ride - Night Version,The Killers,alt-rock,0.935,0.666,-4.563,0.352,0.69,436413,0.00285,0.0445,0,Rock
2045,Limón y Sal,Julieta Venegas,alt-rock,0.653,0.625,-5.967,0.346,0.605,205213,0.124,0.0257,0,Rock
2047,Christmas (Baby Please Come Home),The Offspring,alt-rock,0.878,0.437,-4.687,0.126,0.623,187355,0.0112,0.0452,0,Rock
2048,By the Way,Red Hot Chili Peppers,alt-rock,0.986,0.441,-2.466,0.0998,0.184,215666,0.038,0.116,2,Rock
2050,Daddy Issues (Remix) feat. Syd,The Neighbourhood;Syd,alt-rock,0.533,0.623,-8.164,0.112,0.247,181186,0.245,0.0653,75,Rock
2051,Reflections,The Neighbourhood,alt-rock,0.594,0.648,-7.027,0.116,0.544,244013,0.114,0.0293,80,Rock
2052,Somebody Else,The 1975,alt-rock,0.793,0.618,-5.711,0.126,0.459,347525,0.204,0.0601,73,Rock
2053,Creep,Radiohead,alt-rock,0.43,0.515,-9.935,0.129,0.104,238640,0.0097,0.0372,85,Rock
2054,The Reason,Hoobastank,alt-rock,0.671,0.472,-4.649,0.159,0.0681,232800,0.0129,0.029,81,Rock
2055,No Surprises,Radiohead,alt-rock,0.393,0.255,-10.654,0.113,0.118,229120,0.0577,0.0278,82,Rock
2056,Legend,The Score,alt-rock,0.757,0.601,-3.341,0.0727,0.462,189120,0.0139,0.028,71,Rock
2057,Seven Nation Army,The White Stripes,alt-rock,0.446,0.743,-7.807,0.337,0.278,232106,0.0039,0.0683,84,Rock
2058,Courtesy Call,Thousand Foot Krutch,alt-rock,0.638,0.531,-5.145,0.0822,0.445,236898,0.00409,0.0809,72,Rock
2059,"Elliot’s Song - From ""Euphoria"" An HBO Original Series",Dominic Fike;Zendaya,alt-rock,0.266,0.341,-17.251,0.113,0.388,152144,0.831,0.146,1,Rock
2060,Losing My Religion,R.E.M.,alt-rock,0.854,0.666,-5.051,0.0986,0.803,268426,0.179,0.0295,0,Rock
2061,Azul,Zoé,alt-rock,0.714,0.511,-6.414,0.105,0.521,194506,0.0504,0.0368,0,Rock
2062,Surviving the Game,Skillet,alt-rock,0.979,0.535,-3.593,0.084,0.432,238870,0.000666,0.0597,4,Rock
2064,Say It Ain't So,Weezer,alt-rock,0.551,0.635,-7.136,0.07,0.451,258825,0.00743,0.0354,1,Rock
2068,Buddy Holly,Weezer,alt-rock,0.921,0.555,-4.606,0.117,0.775,159226,0.00264,0.0369,0,Rock
2070,Labios Rotos - En Vivo,Zoé,alt-rock,0.755,0.582,-7.305,0.931,0.311,244866,0.0632,0.0288,0,Rock
2071,Island In The Sun,Weezer,alt-rock,0.794,0.654,-6.288,0.165,0.678,200053,0.00769,0.0284,1,Rock
2072,O Come All Ye Faithful,Weezer,alt-rock,0.818,0.516,-6.076,0.337,0.769,124653,0.00701,0.0393,0,Rock
2075,Feel Invincible,Skillet,alt-rock,0.886,0.603,-3.777,0.26,0.395,229933,0.00045,0.0837,0,Rock
2077,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,alt-rock,0.751,0.395,-8.547,0.0725,0.455,257812,5.71e-05,0.0618,2,Rock
2079,O Holy Night,Weezer,alt-rock,0.609,0.173,-7.724,0.1,0.0988,244306,0.359,0.0482,0,Rock
2080,My Name Is Jonas,Weezer,alt-rock,0.947,0.261,-3.031,0.31,0.552,206120,0.000193,0.0487,1,Rock
2081,Arrullo De Estrellas,Zoé,alt-rock,0.765,0.462,-7.011,0.0757,0.399,252986,0.324,0.036,0,Rock
2082,Christmastime,The Smashing Pumpkins,alt-rock,0.434,0.165,-8.163,0.213,0.186,196723,0.316,0.0288,0,Rock
2084,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,alt-rock,0.894,0.381,-8.638,0.0251,0.797,246933,0.0258,0.037,0,Rock
2086,Lamento Boliviano,Los Enanitos Verdes,alt-rock,0.734,0.714,-7.125,0.115,0.68,222226,0.176,0.0306,0,Rock
2088,Rotting in Vain,Korn,alt-rock,0.946,0.498,-4.792,0.359,0.31,213000,0.000121,0.0602,0,Rock
2091,We Wish You A Merry Christmas,Weezer,alt-rock,0.786,0.387,-4.127,0.123,0.462,84973,0.0195,0.0436,0,Rock
2095,Igual Que Ayer,Los Enanitos Verdes,alt-rock,0.788,0.62,-8.646,0.369,0.856,290160,0.018,0.0276,0,Rock
2096,Mi Primer Dia Sin Ti,Los Enanitos Verdes,alt-rock,0.639,0.522,-5.553,0.185,0.437,270640,0.129,0.0246,0,Rock
2097,Poli / Love - En Vivo,Zoé,alt-rock,0.722,0.553,-7.794,0.958,0.257,256359,0.101,0.0327,0,Rock
2099,Eterna Soledad,Los Enanitos Verdes,alt-rock,0.403,0.558,-8.968,0.171,0.148,174160,0.328,0.0245,0,Rock
2100,The Beach,The Neighbourhood,alt-rock,0.64,0.245,-7.426,0.0766,0.105,255133,0.131,0.0608,78,Rock
2101,Stargazing,The Neighbourhood,alt-rock,0.483,0.512,-7.798,0.12,0.367,217026,0.00304,0.0298,76,Rock
2102,Out of My League,Fitz and The Tantrums,alt-rock,0.968,0.545,-3.553,0.331,0.527,209386,0.0387,0.0853,68,Rock
2103,Robbers,The 1975,alt-rock,0.692,0.621,-6.858,0.335,0.381,254509,0.000363,0.0291,71,Rock
2104,I'm In Love With You,The 1975,alt-rock,0.902,0.668,-3.924,0.198,0.913,262623,0.169,0.0386,78,Rock
2108,Come As You Are,Nirvana,alt-rock,0.824,0.5,-5.846,0.0916,0.539,218920,0.00016,0.0388,79,Rock
2109,Snow (Hey Oh),Red Hot Chili Peppers,alt-rock,0.9,0.427,-3.674,0.119,0.599,334666,0.116,0.0499,80,Rock
2110,Monster,Skillet,alt-rock,0.957,0.64,-2.336,0.0789,0.692,178013,0.0431,0.0741,77,Rock
2111,Revolution,The Score,alt-rock,0.833,0.574,-6.239,0.105,0.574,231986,0.0611,0.0563,67,Rock
2112,On My Own,Ashes Remain,alt-rock,0.871,0.361,-4.313,0.318,0.575,172960,0.0119,0.0393,69,Rock
2113,It's Not My Time - Acoustic,3 Doors Down,alt-rock,0.58,0.674,-8.081,0.198,0.305,238373,0.311,0.0312,0,Rock
2114,skip.that.party,X Ambassadors;Jensen McRae,alt-rock,0.586,0.376,-7.165,0.0641,0.171,231532,0.0131,0.0434,0,Rock
2115,Mr. Jones,Counting Crows,alt-rock,0.836,0.571,-5.556,0.182,0.73,272733,0.194,0.0371,0,Rock
2116,A Long December,Counting Crows,alt-rock,0.59,0.403,-5.941,0.272,0.393,297293,0.508,0.0284,0,Rock
2117,Flaca,Andrés Calamaro;Alejandro Sanz,alt-rock,0.48,0.739,-10.82,0.0768,0.758,226858,0.718,0.0263,0,Rock
2118,Here Without You,3 Doors Down,alt-rock,0.545,0.556,-6.768,0.124,0.193,238560,0.0635,0.0255,0,Rock
2119,Paloma,Andrés Calamaro;Sebastian Yatra;Leiva;Ivan Ferreiro,alt-rock,0.382,0.727,-9.145,0.0998,0.828,285024,0.809,0.0314,2,Rock
2120,Kryptonite,3 Doors Down,alt-rock,0.848,0.544,-6.804,0.134,0.489,234626,0.00395,0.0288,0,Rock
2123,Hanginaround,Counting Crows,alt-rock,0.781,0.514,-6.703,0.731,0.717,252720,0.248,0.0639,0,Rock
2125,Big Yellow Taxi,Counting Crows;Vanessa Carlton,alt-rock,0.867,0.674,-4.329,0.206,0.821,226826,0.00199,0.0462,1,Rock
2127,"The Sick, The Dying… And The Dead!",Megadeth,alt-rock,0.976,0.303,-3.583,0.0707,0.193,304053,0.00266,0.225,2,Rock
2128,Symphony Of Destruction,Megadeth,alt-rock,0.889,0.61,-5.452,0.0657,0.506,246733,0.000794,0.0585,0,Rock
2129,The Devil's Bleeding Crown,Volbeat,alt-rock,0.909,0.321,-4.612,0.0442,0.209,238653,1.62e-05,0.041,0,Rock
2132,Bohemio,Andrés Calamaro;Julio Iglesias,alt-rock,0.461,0.784,-9.546,0.107,0.733,208004,0.662,0.0314,0,Rock
2133,Tuyo Siempre,Andrés Calamaro;Vicentico,alt-rock,0.525,0.706,-8.879,0.175,0.73,171978,0.682,0.0298,1,Rock
2134,Holy Wars...The Punishment Due - Remastered,Megadeth,alt-rock,0.985,0.327,-3.941,0.351,0.218,392600,0.00177,0.151,2,Rock
2135,Keep My Name Outta Your Mouth,The Black Keys,alt-rock,0.702,0.597,-4.767,0.125,0.645,189356,0.0197,0.0445,0,Rock
2137,Sorry Sack Of Bones,Volbeat,alt-rock,0.954,0.407,-3.753,0.0545,0.454,228666,0.000629,0.0532,0,Rock
2138,Never Gonna Give You Up,The Black Keys,alt-rock,0.665,0.557,-6.19,0.0713,0.437,218986,0.321,0.0328,0,Rock
2139,Transito Lento,Andrés Calamaro,alt-rock,0.533,0.704,-6.94,0.254,0.695,194080,0.587,0.0315,0,Rock
2141,Burn The Witch,Queens of the Stone Age,alt-rock,0.819,0.452,-4.394,0.224,0.423,217213,0.175,0.0863,0,Rock
2142,Heaven Nor Hell,Volbeat,alt-rock,0.767,0.411,-4.211,0.134,0.659,322613,0.000621,0.056,1,Rock
2143,Cuarteles De Invierno,Andrés Calamaro,alt-rock,0.627,0.488,-7.266,0.114,0.482,212440,0.429,0.0295,0,Rock
2145,Enganchate Conmigo,Andrés Calamaro;Juanes;Niño Josele,alt-rock,0.646,0.682,-9.274,0.0978,0.785,225616,0.576,0.0667,0,Rock
2146,Algún Lugar Encontraré,Andrés Calamaro;Carlos Vives,alt-rock,0.52,0.694,-8.758,0.137,0.52,254955,0.412,0.0245,0,Rock
2147,Miro Por La Ventana - Remastered 2017,Andrés Calamaro,alt-rock,0.757,0.554,-8.653,0.258,0.907,177413,0.00543,0.0705,0,Rock
2148,Diego Armando Canciones,Andrés Calamaro,alt-rock,0.515,0.32,-8.018,0.089,0.568,213946,0.373,0.0412,0,Rock
2149,Otro Amor En Avellaneda - Remastered 2017,Andrés Calamaro,alt-rock,0.572,0.637,-6.913,0.0645,0.615,144066,0.113,0.107,0,Rock
2150,Afraid,The Neighbourhood,alt-rock,0.701,0.464,-5.693,0.335,0.356,251186,0.00892,0.0411,77,Rock
2151,feel something,Bea Miller,alt-rock,0.415,0.74,-8.914,0.319,0.156,180161,0.242,0.0707,71,Rock
2152,Oceans (Where Feet May Fail),Hillsong UNITED;TAYA,alt-rock,0.363,0.264,-10.196,0.11,0.0613,536000,0.501,0.0338,71,Rock
2153,Oh Caroline,The 1975,alt-rock,0.85,0.646,-5.466,0.0994,0.819,212568,0.363,0.0428,76,Rock
2156,Renegades,X Ambassadors,alt-rock,0.862,0.526,-6.003,0.229,0.528,195200,0.0144,0.0905,76,Rock
2158,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs;A-Trak,alt-rock,0.607,0.738,-3.933,0.0699,0.78,383893,0.00746,0.0845,0,Rock
2159,Her Şeyi Yak,Duman,alt-rock,0.538,0.629,-6.79,0.123,0.205,270280,0.461,0.0244,0,Rock
2161,Way Down We Go,KALEO,alt-rock,0.506,0.492,-8.022,0.104,0.338,213706,0.58,0.118,2,Rock
2165,アイ・プット・ア・スペル・オン・ユー,Marilyn Manson,alt-rock,0.801,0.611,-5.894,0.23,0.408,216735,0.00119,0.0733,0,Rock
2170,I Put A Spell On You,Marilyn Manson,alt-rock,0.801,0.611,-5.894,0.23,0.408,216735,0.00119,0.0733,0,Rock
2171,The Beautiful People,Marilyn Manson,alt-rock,0.948,0.609,-4.938,0.042,0.786,222773,0.00404,0.113,1,Rock
2172,Song 2 - 2012 Remaster,Blur,alt-rock,0.789,0.674,-6.903,0.0753,0.918,121160,0.00178,0.0676,0,Rock
2173,In Over My Head,grandson,alt-rock,0.817,0.582,-6.475,0.575,0.622,198365,0.0017,0.0399,0,Rock
2177,Heads Will Roll,Yeah Yeah Yeahs,alt-rock,0.903,0.562,-4.46,0.298,0.791,221000,0.000187,0.0296,0,Rock
2178,The Fight Song,Marilyn Manson,alt-rock,0.983,0.499,-3.662,0.0728,0.0378,177440,0.000123,0.0882,1,Rock
2180,WE ARE CHAOS,Marilyn Manson,alt-rock,0.857,0.373,-3.546,0.408,0.235,240213,0.000999,0.0528,0,Rock
2185,You And Me And The Devil Makes 3,Marilyn Manson,alt-rock,0.964,0.596,-5.754,0.203,0.399,264266,9.52e-05,0.0804,0,Rock
2189,Sweet Dreams (Are Made Of This),Marilyn Manson,alt-rock,0.664,0.221,-5.242,0.239,0.101,293293,0.0039,0.0379,2,Rock
2196,The Universal,Blur,alt-rock,0.546,0.32,-8.33,0.0928,0.263,238520,0.181,0.0278,1,Rock
2197,Como Eran Las Cosas,Babasónicos,alt-rock,0.448,0.696,-9.099,0.0904,0.569,242520,0.452,0.0333,0,Rock
2200,Tongue Tied,Grouplove,alt-rock,0.936,0.56,-5.835,0.161,0.371,218013,0.00847,0.0439,79,Rock
2201,like that,Bea Miller,alt-rock,0.441,0.573,-5.799,0.61,0.389,185546,0.186,0.0758,70,Rock
2202,Boku no Sensou,Shinsei Kamattechan,alt-rock,0.936,0.473,-4.877,0.31,0.416,280466,0.00916,0.0704,66,Rock
2204,Everybody Talks,Neon Trees,alt-rock,0.924,0.471,-3.906,0.313,0.725,177280,0.00301,0.0586,80,Rock
2205,Run for Your Life,The Seige,alt-rock,0.905,0.714,-5.137,0.0863,0.362,180137,0.0921,0.245,55,Rock
2206,The Adults Are Talking,The Strokes,alt-rock,0.749,0.593,-5.67,0.314,0.649,309053,0.0113,0.0475,79,Rock
2207,One Last Breath,Creed,alt-rock,0.677,0.386,-5.83,0.341,0.195,238240,0.00841,0.0346,72,Rock
2208,"10,000 Reasons (Bless The Lord) - Live",Matt Redman,alt-rock,0.485,0.431,-8.085,0.544,0.367,342493,0.452,0.0274,66,Rock
2209,I'm Dangerous,The EverLove,alt-rock,0.841,0.691,-7.026,0.31,0.755,243329,0.00438,0.0436,65,Rock
2210,Stronger,The Score,alt-rock,0.678,0.563,-4.717,0.342,0.134,190048,0.0228,0.0392,66,Rock
2211,Zoio De Lula - Ao Vivo,Charlie Brown Jr.,alt-rock,0.866,0.632,-5.445,0.518,0.835,224973,0.0556,0.0488,55,Rock
2212,Sway,Fitz and The Tantrums,alt-rock,0.927,0.705,-2.701,0.0705,0.945,136940,0.0327,0.0776,0,Rock
2213,Save Yourself,KALEO,alt-rock,0.338,0.534,-8.608,0.124,0.111,273880,0.515,0.0346,0,Rock
2215,I Want More,KALEO,alt-rock,0.531,0.55,-7.431,0.0509,0.364,212392,0.256,0.0309,0,Rock
2218,Automobile,KALEO,alt-rock,0.553,0.692,-6.164,0.305,0.356,186906,0.596,0.0389,1,Rock
2219,Cough Syrup,Young the Giant,alt-rock,0.721,0.533,-7.309,0.115,0.225,249520,0.0338,0.0417,0,Rock
2220,It's My Life,No Doubt,alt-rock,0.75,0.606,-4.535,0.321,0.771,225866,0.0026,0.0306,1,Rock
2221,Walking Target,Fitz and The Tantrums,alt-rock,0.956,0.65,-4.113,0.364,0.673,156960,0.0153,0.0564,0,Rock
2222,Last Christmas,Jimmy Eat World,alt-rock,0.842,0.532,-6.152,0.33,0.715,267493,0.00131,0.0403,0,Rock
2224,Walk,Pantera,alt-rock,0.704,0.428,-8.018,0.0933,0.703,315120,0.000156,0.0808,0,Rock
2225,I Just Wanna Shine,Fitz and The Tantrums,alt-rock,0.918,0.705,-2.771,0.0803,0.537,207925,0.0405,0.0678,0,Rock
2226,Christmas Card,Jimmy Eat World,alt-rock,0.93,0.196,-5.131,0.105,0.566,173560,0.0116,0.0519,0,Rock
2228,Mouth for War,Pantera,alt-rock,0.97,0.361,-5.69,0.039,0.561,236720,6.58e-06,0.0837,1,Rock
2229,HandClap - Dave Audé Remix,Fitz and The Tantrums;Dave Audé,alt-rock,0.918,0.725,-2.468,0.0642,0.503,295932,0.000148,0.0352,0,Rock
2232,HandClap,Fitz and The Tantrums,alt-rock,0.836,0.634,-3.004,0.0828,0.715,193253,0.00609,0.0427,0,Rock
2233,Don't Speak,No Doubt,alt-rock,0.752,0.508,-5.439,0.142,0.554,262746,0.251,0.0343,0,Rock
2234,The Middle,Jimmy Eat World,alt-rock,0.848,0.644,-5.385,0.0676,0.928,166040,0.0358,0.0529,0,Rock
2235,Oi To The World,No Doubt,alt-rock,0.939,0.505,-4.165,0.0516,0.963,160586,0.00281,0.0415,0,Rock
2236,Spiderwebs,No Doubt,alt-rock,0.924,0.485,-4.046,0.248,0.661,266706,0.0373,0.0579,1,Rock
2237,Hey Baby,No Doubt;Bounty Killer,alt-rock,0.871,0.705,-3.557,0.226,0.749,207040,0.0618,0.123,0,Rock
2238,Black Hole Sun,Soundgarden,alt-rock,0.827,0.351,-5.351,0.0755,0.145,318586,0.000222,0.0412,0,Rock
2242,Spoonman,Soundgarden,alt-rock,0.904,0.258,-5.625,0.255,0.832,246920,2.2e-05,0.0386,0,Rock
2246,Just A Girl,No Doubt,alt-rock,0.937,0.635,-2.86,0.134,0.78,205946,0.0735,0.0452,1,Rock
2248,Plush,Stone Temple Pilots,alt-rock,0.954,0.416,-3.157,0.177,0.498,310346,0.0021,0.0467,1,Rock
2250,Mind Over Matter (Reprise),Young the Giant,alt-rock,0.487,0.393,-6.348,0.128,0.3,230866,0.229,0.0337,75,Rock
2251,"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike;Zendaya,alt-rock,0.327,0.394,-14.291,0.125,0.411,150320,0.849,0.114,70,Rock
2252,Legends Are Made,Sam Tinnesz,alt-rock,0.89,0.553,-4.879,0.139,0.674,169758,0.123,0.0413,51,Rock
2253,Carnival of Rust,Poets of the Fall,alt-rock,0.59,0.492,-4.593,0.0973,0.124,262946,0.225,0.0239,56,Rock
2254,Legendary,Welshly Arms,alt-rock,0.656,0.537,-5.863,0.112,0.45,232173,0.0458,0.0411,66,Rock
2255,Welcome to the Fire,Willyecho,alt-rock,0.522,0.597,-5.683,0.0854,0.334,202250,0.297,0.0331,52,Rock
2256,The Man Who Sold The World,Nirvana,alt-rock,0.753,0.483,-8.937,0.257,0.42,261093,0.425,0.0832,76,Rock
2257,Hero,Skillet,alt-rock,0.967,0.533,-2.543,0.336,0.782,186813,0.00791,0.0995,72,Rock
2258,Blood // Water - King Kavalier Remix,grandson;King Kavalier,alt-rock,0.813,0.586,-6.357,0.0939,0.655,179374,0.0494,0.0804,64,Rock
2259,Heart-Shaped Box,Nirvana,alt-rock,0.641,0.256,-10.283,0.0853,0.382,281160,0.199,0.0552,79,Rock
2260,Can't Stop,Red Hot Chili Peppers,alt-rock,0.938,0.618,-3.442,0.167,0.875,269000,0.0179,0.0456,82,Rock
2261,Moments Like This,The Afters,alt-rock,0.837,0.497,-3.672,0.0763,0.489,239986,0.0155,0.046,56,Rock
2263,Holiday Rock,Neon Trees,alt-rock,0.818,0.529,-6.622,0.354,0.684,177345,6.5e-05,0.04,0,Rock
2267,All Star,Smash Mouth,alt-rock,0.867,0.731,-5.881,0.0861,0.776,200373,0.0394,0.032,0,Rock
2269,Vampires,Godsmack,alt-rock,0.843,0.486,-6.085,0.0709,0.412,227240,7.21e-05,0.0635,0,Rock
2270,I'm A Believer - Radio Edit,Smash Mouth,alt-rock,0.972,0.559,-3.524,0.393,0.92,183400,0.0198,0.0639,3,Rock
2276,Outro Lugar,Detonautas Roque Clube,alt-rock,0.833,0.616,-7.932,0.801,0.553,236973,0.0392,0.0323,54,Rock
2279,Cryin' Like A Bitch!!,Godsmack,alt-rock,0.808,0.548,-5.484,0.114,0.475,201666,7.19e-05,0.0398,1,Rock
2280,Iron Head,Rob Zombie;Ozzy Osbourne,alt-rock,0.924,0.527,-4.503,0.705,0.324,251200,7.92e-05,0.0367,0,Rock
2281,Living Dead Girl,Rob Zombie,alt-rock,0.948,0.518,-5.579,0.228,0.548,201400,0.00512,0.0676,2,Rock
2282,Bitter Sweet Symphony - Remastered 2016,The Verve,alt-rock,0.917,0.356,-6.005,0.406,0.523,357266,0.0336,0.0487,0,Rock
2286,Superbeast,Rob Zombie,alt-rock,0.975,0.514,-4.433,0.457,0.309,220226,7.65e-05,0.0609,0,Rock
2287,Dragula,Rob Zombie,alt-rock,0.978,0.579,-5.327,0.0955,0.558,222893,8.55e-05,0.0548,1,Rock
2297,Demon Speeding,Rob Zombie,alt-rock,0.809,0.548,-4.001,0.156,0.409,224306,0.000298,0.0328,0,Rock
2300,Cry Baby,The Neighbourhood,alt-rock,0.656,0.581,-4.891,0.101,0.338,235160,0.00269,0.0294,74,Rock
2301,About You,The 1975,alt-rock,0.762,0.416,-7.385,0.0559,0.461,326490,0.312,0.0279,73,Rock
2303,Pretty Boy,The Neighbourhood,alt-rock,0.386,0.578,-11.464,0.307,0.569,234093,0.208,0.0278,75,Rock
2304,Where Is My Mind?,Pixies,alt-rock,0.442,0.513,-13.529,0.0878,0.243,229226,0.00731,0.0343,77,Rock
2305,Fade Into You,Mazzy Star,alt-rock,0.33,0.42,-13.925,0.0677,0.175,295600,0.245,0.0275,79,Rock
2306,This fffire - New Version,Franz Ferdinand,alt-rock,0.887,0.442,-5.943,0.0655,0.637,218080,0.0259,0.1,76,Rock
2307,It's Not Living (If It's Not With You),The 1975,alt-rock,0.837,0.618,-5.338,0.0618,0.526,248335,0.000254,0.0304,73,Rock
2308,The 1975,The 1975,alt-rock,0.433,0.542,-10.47,0.101,0.495,250900,0.897,0.0305,71,Rock
2309,Under the Bridge,Red Hot Chili Peppers,alt-rock,0.345,0.559,-13.496,0.141,0.458,264306,0.0576,0.0459,82,Rock
2310,The Mystic,Adam Jensen,alt-rock,0.72,0.556,-5.132,0.146,0.405,189600,0.358,0.0415,68,Rock
2311,Where Is My Mind? - Remastered,Pixies,alt-rock,0.441,0.519,-14.178,0.076,0.25,234973,0.0204,0.0353,79,Rock
2312,Bitter Sweet Symphony,The Verve,alt-rock,0.917,0.356,-6.006,0.406,0.518,357266,0.0335,0.0479,80,Rock
2314,Só Por Uma Noite - Ao Vivo,Charlie Brown Jr.,alt-rock,0.94,0.568,-6.414,0.735,0.738,190400,0.0366,0.0402,53,Rock
2315,Flowers In December,Mazzy Star,alt-rock,0.229,0.59,-13.174,0.0854,0.168,297893,0.115,0.0301,3,Rock
2317,Stitches,Bullet For My Valentine,alt-rock,0.941,0.547,-4.631,0.323,0.331,301426,5.72e-06,0.0824,5,Rock
2319,Honeybrains,Royal Blood,alt-rock,0.8,0.523,-5.243,0.398,0.604,186847,0.00537,0.101,3,Rock
2320,Shatter - Edit,Bullet For My Valentine,alt-rock,0.923,0.413,-4.487,0.0883,0.504,281757,9.24e-06,0.053,0,Rock
2321,Soun Tha Mi Primer Amor - Remastered,Kinky,alt-rock,0.838,0.83,-6.77,0.073,0.829,191000,0.0805,0.0776,54,Rock
2322,Joy To The World (Unspeakable Joy),Chris Tomlin,alt-rock,0.876,0.418,-5.157,0.829,0.341,230720,0.00187,0.0529,1,Rock
2324,Noel - Live,Chris Tomlin;Lauren Daigle,alt-rock,0.261,0.349,-9.478,0.104,0.103,257720,0.748,0.0306,0,Rock
2326,Winter Snow,Chris Tomlin;Audrey Assad,alt-rock,0.33,0.444,-15.594,0.676,0.308,212773,0.954,0.262,0,Rock
2328,Tren Al Sur,Los Prisioneros,alt-rock,0.67,0.676,-7.218,0.0805,0.725,336933,0.00565,0.051,0,Rock
2329,Little Drummer Boy,Chris Tomlin,alt-rock,0.585,0.699,-5.755,0.0975,0.757,215373,0.246,0.0297,0,Rock
2331,Trouble's Coming,Royal Blood,alt-rock,0.694,0.767,-5.059,0.32,0.78,228400,0.0629,0.0384,0,Rock
