season,week,date,away,home,score_away,score_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2002,2,2002-09-15,Packers,Saints,20,35,18,16,3,13,7,12,0,2,0,0,66,57,18,18,357,357,29,44,262,16,28,211,1,8,1,6,21,95,28,146,7,73,9,59,0,6,0,7,3,0,1,2,0,2,30:26,29:34
2002,2,2002-09-15,Patriots,Jets,44,7,24,9,10,16,1,12,2,2,1,3,75,47,14,20,432,200,25,35,269,18,33,168,0,0,5,21,40,163,9,32,3,36,7,55,0,7,0,6,1,1,1,1,4,0,38:04,21:56
2002,2,2002-09-15,Lions,Panthers,7,31,12,20,1,15,3,14,0,0,0,0,58,63,22,15,122,385,12,30,49,21,33,310,6,57,0,0,22,73,30,75,11,100,4,55,0,4,0,4,1,0,2,0,0,2,26:17,33:43
2002,2,2002-09-15,Buccaneers,Ravens,25,0,17,12,6,14,4,15,0,0,1,2,62,61,14,17,279,173,24,31,205,16,38,118,1,6,3,23,30,74,20,55,10,74,3,25,0,6,0,5,0,0,0,1,3,0,35:31,24:29
2002,2,2002-09-15,Giants,Rams,26,21,16,18,6,15,3,9,0,0,0,1,66,57,16,18,394,352,22,26,291,26,39,260,2,16,1,6,38,103,17,92,4,30,8,40,0,5,0,8,0,2,1,2,2,0,35:01,24:59
2002,2,2002-09-15,Cardinals,Seahawks,24,13,19,26,6,13,4,13,0,0,0,3,59,77,15,16,347,426,10,22,98,29,47,345,2,9,1,7,35,249,29,81,7,42,7,35,0,7,0,9,0,1,1,0,1,0,29:00,31:00
2002,2,2002-09-15,Bills,Vikings,45,39,26,31,4,12,7,16,0,0,3,3,66,90,22,21,468,449,35,49,437,25,46,236,3,26,5,45,14,31,39,213,6,65,8,65,0,10,0,13,0,3,0,0,3,0,30:23,39:49
2002,2,2002-09-15,Texans,Chargers,3,24,7,16,1,14,4,14,1,2,0,0,59,65,20,20,118,267,6,25,29,15,28,143,9,58,2,20,25,89,35,124,12,73,4,35,0,4,0,5,1,0,2,1,0,2,27:36,32:24
2002,2,2002-09-15,Broncos,49ers,24,14,21,18,5,10,8,13,0,0,0,0,58,58,12,14,299,261,14,19,98,27,36,190,4,21,2,15,35,201,20,71,3,30,10,114,0,4,0,5,1,1,0,1,0,0,30:40,29:20
2002,2,2002-09-15,Raiders,Steelers,30,17,27,14,12,20,4,10,0,0,0,0,87,52,16,20,464,273,43,65,369,18,34,201,5,34,0,0,17,95,18,72,7,69,6,57,0,5,0,4,0,4,2,1,1,0,39:34,20:26
2002,2,2002-09-16,Eagles,Commanders,37,7,22,11,7,15,3,12,0,1,1,2,68,53,13,18,451,179,26,38,283,16,31,90,2,9,4,29,28,168,18,89,4,30,7,55,0,4,0,3,0,1,0,2,0,1,35:23,24:37
2002,3,2002-09-22,Saints,Bears,29,23,18,21,4,12,6,15,0,0,1,1,59,71,18,17,302,353,22,34,229,26,40,228,1,4,1,8,24,73,30,125,10,91,7,49,0,7,0,8,2,1,1,1,0,0,26:01,33:59
2002,3,2002-09-22,Browns,Titans,31,28,26,13,8,15,3,13,0,0,1,1,73,58,18,17,403,187,36,50,311,15,23,101,3,15,1,6,20,92,34,86,7,57,13,96,0,5,0,5,3,0,1,0,1,2,31:02,33:11
2002,3,2002-09-22,Jets,Dolphins,3,30,13,21,3,12,6,14,1,1,0,0,53,66,18,12,189,394,16,28,131,16,30,183,3,26,1,2,22,58,35,211,7,55,7,55,0,3,0,5,1,0,3,0,0,0,27:08,32:52
2002,3,2002-09-22,Panthers,Vikings,21,14,20,13,6,15,2,10,0,0,0,1,66,53,16,15,370,250,20,30,206,19,30,177,3,15,5,14,33,164,18,73,6,41,6,55,0,6,0,4,0,1,2,4,0,0,35:24,24:36
2002,3,2002-09-22,Chiefs,Patriots,38,41,21,27,6,11,8,17,0,0,0,0,62,79,19,19,349,496,16,25,128,39,55,399,3,21,4,11,34,221,20,97,1,5,12,100,0,7,0,8,1,0,2,1,0,0,27:01,37:39
2002,3,2002-09-22,Cowboys,Eagles,13,44,18,26,4,13,3,10,0,0,1,1,65,69,20,16,304,447,21,35,183,26,40,294,3,18,3,15,27,121,26,153,7,92,3,25,0,6,0,7,3,2,1,0,1,0,30:52,29:08
2002,3,2002-09-22,Colts,Texans,23,3,16,10,6,13,3,13,0,0,0,0,58,56,13,17,339,204,21,28,251,12,22,78,3,21,4,21,27,88,30,126,4,45,9,67,0,5,0,6,2,1,0,1,0,0,31:11,28:49
2002,3,2002-09-22,Bills,Broncos,23,28,17,22,6,14,3,13,0,0,1,2,59,67,16,16,291,342,27,41,252,19,31,179,4,31,4,32,14,39,32,163,10,82,9,64,0,7,0,2,1,0,0,0,0,2,27:13,32:47
2002,3,2002-09-22,Chargers,Cardinals,23,15,19,15,7,15,7,16,0,0,0,1,67,60,14,16,289,297,17,31,164,16,36,200,2,17,3,29,34,125,21,97,8,80,2,25,0,4,0,2,0,1,1,2,2,0,34:17,25:43
2002,3,2002-09-22,Packers,Lions,37,31,22,14,12,21,3,13,0,0,0,0,79,57,20,22,442,271,31,47,347,15,35,176,1,10,1,6,31,95,21,95,12,88,4,24,0,5,0,6,2,1,1,4,2,1,38:54,21:06
2002,3,2002-09-22,Seahawks,Giants,6,9,7,21,4,12,8,18,0,0,0,1,45,76,14,12,145,351,16,25,105,23,38,257,2,13,3,25,18,40,35,94,6,37,3,24,0,3,0,3,0,0,1,0,0,0,23:10,36:50
2002,3,2002-09-22,Commanders,49ers,10,20,12,22,4,12,6,14,0,0,0,0,49,71,15,15,217,366,18,30,160,15,28,114,3,23,2,11,16,57,41,252,4,35,5,50,0,3,0,5,2,0,1,1,0,0,24:05,35:55
2002,3,2002-09-22,Bengals,Falcons,3,30,11,18,5,16,5,14,0,4,1,1,64,63,18,11,191,306,18,42,125,16,26,163,2,11,1,11,20,66,36,143,8,72,7,70,0,4,0,3,0,0,2,0,0,0,23:15,36:45
2002,3,2002-09-23,Rams,Buccaneers,14,26,21,14,5,13,3,11,1,1,0,0,70,49,17,13,358,252,30,45,269,23,32,189,5,32,1,10,20,89,16,63,5,33,8,50,0,4,0,4,0,1,4,0,0,2,34:47,25:13
2002,4,2002-09-29,Bears,Bills,27,33,15,26,6,14,5,11,0,0,0,0,57,63,17,18,240,410,19,31,188,28,36,307,0,0,2,21,26,52,25,103,5,55,9,82,0,8,0,8,0,1,0,0,2,0,29:04,32:54
2002,4,2002-09-29,Saints,Lions,21,26,24,16,7,13,5,15,0,0,1,2,67,65,18,15,357,352,27,48,247,20,35,267,3,22,0,0,16,110,30,85,6,38,5,44,0,7,0,7,1,0,2,0,0,2,26:23,33:37
2002,4,2002-09-29,Panthers,Packers,14,17,18,17,4,14,2,11,0,0,0,0,63,59,16,16,332,298,10,24,193,19,33,199,4,9,4,32,35,139,22,99,7,77,10,83,0,5,0,2,3,0,0,1,0,0,31:37,28:23
2002,4,2002-09-29,Dolphins,Chiefs,30,48,28,25,1,8,5,13,0,1,0,0,66,67,22,19,399,450,29,45,294,24,34,328,2,16,0,0,19,105,33,122,9,86,10,71,0,11,0,10,1,0,4,0,0,0,26:25,33:35
2002,4,2002-09-29,Cowboys,Rams,13,10,17,19,5,15,5,13,0,0,0,0,65,62,14,12,315,366,26,36,193,25,40,273,2,11,1,6,27,122,21,93,8,60,8,65,0,3,0,3,1,1,1,2,0,0,31:57,28:03
2002,4,2002-09-29,Texans,Eagles,17,35,12,21,3,15,8,17,1,2,1,1,60,76,20,18,242,391,16,29,151,25,44,289,7,37,3,27,24,91,29,102,11,83,4,32,0,5,0,5,1,2,2,1,0,0,26:36,33:24
2002,4,2002-09-29,Browns,Steelers,13,16,13,21,5,14,5,14,0,0,1,1,56,73,13,16,245,358,16,29,122,26,39,265,3,22,0,0,24,123,34,93,7,50,7,45,0,4,0,9,0,0,2,2,0,0,29:01,38:13
2002,4,2002-09-29,Jets,Jaguars,3,28,18,20,5,13,4,10,0,3,0,0,63,57,14,12,345,383,21,39,267,10,15,160,2,14,2,13,22,78,40,223,4,25,3,15,0,4,0,3,2,0,2,0,0,0,26:34,33:26
2002,4,2002-09-29,Buccaneers,Bengals,35,7,17,11,4,11,2,17,0,0,2,3,60,65,14,19,363,168,19,30,262,12,33,94,2,15,3,23,28,101,29,74,7,65,4,30,0,1,0,6,1,1,2,1,2,2,31:22,28:38
2002,4,2002-09-29,Giants,Cardinals,7,21,14,18,3,11,10,17,1,3,0,1,54,69,13,13,263,263,19,36,196,23,32,161,1,3,1,7,17,67,36,102,10,110,5,35,0,3,0,3,1,1,2,0,0,2,23:55,36:05
2002,4,2002-09-29,Titans,Raiders,25,52,23,24,6,10,3,9,0,1,0,0,64,62,21,18,430,464,32,46,387,29,39,374,2,11,2,7,16,43,21,90,11,77,10,117,0,4,0,8,0,1,4,0,0,4,30:25,29:35
2002,4,2002-09-29,Patriots,Chargers,14,21,25,14,7,14,6,12,1,2,1,2,76,52,13,12,440,342,36,53,353,10,18,104,0,0,0,0,23,87,34,238,6,45,2,20,0,5,0,1,1,1,2,0,0,0,33:13,26:47
2002,4,2002-09-29,Vikings,Seahawks,23,48,28,18,10,18,4,12,1,4,1,2,89,59,22,18,443,381,29,53,249,13,28,222,4,24,0,0,32,194,31,159,8,58,4,35,0,13,0,8,2,1,2,0,0,2,34:53,25:07
2002,4,2002-09-30,Broncos,Ravens,23,34,30,14,5,14,3,13,1,1,0,0,78,55,21,18,403,230,35,54,306,13,24,146,3,22,1,6,21,97,30,84,9,91,9,62,0,8,0,6,0,2,3,0,0,0,32:54,27:06
2002,5,2002-10-06,Buccaneers,Falcons,20,6,15,14,4,13,3,14,1,1,0,1,59,64,12,15,327,243,17,31,253,17,38,173,2,8,4,14,26,74,22,70,6,35,6,41,0,2,0,3,1,0,1,4,2,0,29:34,30:26
2002,5,2002-10-06,Raiders,Bills,49,31,24,29,6,13,7,15,0,0,1,1,66,76,19,20,495,479,23,38,353,32,53,399,1,4,5,18,27,142,18,80,10,120,7,43,0,8,0,7,0,0,0,3,2,0,28:28,31:32
2002,5,2002-10-06,Giants,Cowboys,21,17,16,20,6,13,8,17,0,0,0,2,57,69,15,14,316,340,18,27,212,23,42,245,2,16,3,17,28,104,24,95,6,48,5,37,0,3,0,6,1,0,1,0,0,0,28:50,31:10
2002,5,2002-10-06,Commanders,Titans,31,14,25,17,8,14,2,11,0,0,1,2,69,58,14,16,442,289,22,38,286,24,39,230,1,7,4,15,30,156,15,59,7,46,7,46,0,6,0,7,0,1,0,3,0,0,34:12,25:48
2002,5,2002-10-06,Bengals,Colts,21,28,23,19,2,11,6,14,2,3,0,0,68,59,16,15,410,311,31,43,237,21,34,224,1,7,0,0,24,173,25,87,6,63,5,71,0,6,0,7,1,0,3,1,0,0,30:45,29:15
2002,5,2002-10-06,Patriots,Dolphins,13,26,16,21,3,10,9,17,0,1,0,0,51,72,16,14,245,319,17,31,208,17,27,182,3,32,1,8,17,37,44,137,6,49,5,35,0,3,0,5,1,1,2,0,0,0,20:01,39:59
2002,5,2002-10-06,Steelers,Saints,29,32,23,17,7,13,5,12,1,1,0,0,68,53,18,13,364,315,22,38,244,13,23,194,4,24,2,11,26,120,28,121,7,80,6,35,0,7,0,6,1,0,1,0,0,0,32:14,27:46
2002,5,2002-10-06,Cardinals,Panthers,16,13,18,12,6,18,4,14,0,1,0,1,70,60,16,18,312,244,18,40,221,20,34,186,1,0,2,10,29,91,24,58,6,62,6,45,0,3,0,4,0,2,1,2,0,0,31:26,28:34
2002,5,2002-10-06,Chargers,Broncos,9,26,16,20,8,15,7,15,0,0,1,1,60,68,13,14,314,417,26,42,235,26,35,300,0,0,2,16,18,79,31,117,5,41,6,50,0,4,0,4,1,0,2,1,0,2,26:13,33:47
2002,5,2002-10-06,Chiefs,Jets,29,25,24,23,5,10,6,11,0,0,0,0,62,59,13,16,504,359,23,33,289,22,29,212,1,7,3,25,28,215,27,147,7,65,4,25,0,6,0,6,0,0,1,1,0,0,30:59,29:01
2002,5,2002-10-06,Rams,49ers,13,37,19,21,4,14,4,9,3,3,0,0,65,55,16,13,313,386,23,40,225,18,27,207,1,7,1,7,24,88,27,179,4,40,4,27,0,7,0,7,0,0,2,0,0,2,30:54,29:06
2002,5,2002-10-06,Eagles,Jaguars,25,28,28,16,7,17,2,11,3,4,1,1,83,51,16,13,406,267,28,48,207,13,23,197,5,23,1,0,30,199,27,70,10,75,4,21,0,7,0,4,0,0,0,0,0,1,34:58,25:02
2002,5,2002-10-06,Ravens,Browns,26,21,18,21,6,15,7,15,0,0,2,2,64,68,14,18,409,433,19,30,208,29,49,371,0,0,2,25,34,201,17,62,7,65,9,117,0,5,0,6,1,1,0,4,0,0,30:51,29:09
2002,5,2002-10-07,Packers,Bears,34,21,20,20,3,13,6,15,1,1,1,3,66,69,18,20,457,380,22,33,333,27,50,335,3,26,3,18,30,124,16,45,5,49,7,65,0,7,0,9,1,1,0,3,2,0,31:04,28:56
2002,6,2002-10-13,Steelers,Bengals,34,7,21,18,7,12,8,14,0,0,0,2,62,64,12,18,408,268,16,25,197,23,35,190,2,19,5,32,35,211,24,78,7,50,4,30,0,5,0,6,0,1,2,3,1,0,31:12,28:48
2002,6,2002-10-13,Panthers,Cowboys,13,14,14,17,5,16,3,13,0,0,2,3,61,62,16,15,308,311,16,27,198,15,32,174,0,0,6,51,34,110,24,137,14,106,9,71,0,1,0,4,0,1,0,1,0,0,33:36,26:24
2002,6,2002-10-13,Ravens,Colts,20,22,15,19,4,13,3,13,1,1,0,0,57,64,19,16,244,317,15,28,139,30,40,257,3,24,5,27,26,105,19,60,5,52,9,70,0,7,0,6,2,0,1,1,0,0,28:59,31:01
2002,6,2002-10-13,Lions,Vikings,24,31,17,22,4,13,5,12,1,2,0,1,59,62,17,17,354,402,25,41,301,27,36,291,1,8,1,4,17,53,25,111,5,56,10,75,0,6,0,7,0,0,1,1,2,0,28:20,31:40
2002,6,2002-10-13,Packers,Patriots,28,10,20,20,5,14,6,13,1,1,1,2,64,68,13,16,301,289,17,27,143,24,44,166,1,4,2,17,36,158,22,123,5,60,12,126,0,6,0,6,0,1,0,3,0,0,32:13,27:47
2002,6,2002-10-13,Falcons,Giants,17,10,15,18,8,13,6,13,0,0,1,2,51,61,10,12,313,303,19,25,246,20,31,190,2,11,3,14,24,67,27,113,3,20,6,35,0,4,0,6,0,1,0,1,0,0,29:58,30:02
2002,6,2002-10-13,Browns,Buccaneers,3,17,11,22,6,17,6,14,0,0,0,1,60,70,15,13,194,380,20,40,134,15,32,194,2,17,0,0,18,60,38,186,8,66,5,45,0,1,0,8,0,0,1,1,0,0,26:26,33:34
2002,6,2002-10-13,Saints,Commanders,43,27,16,20,6,16,4,13,0,0,2,4,59,67,18,20,311,318,12,23,192,21,43,264,2,13,7,56,34,119,17,54,12,90,11,87,0,9,0,8,0,1,1,4,2,2,32:20,27:40
2002,6,2002-10-13,Bills,Texans,31,24,25,18,6,14,3,12,0,0,1,2,69,58,15,16,403,338,19,33,230,13,24,197,3,24,5,26,33,173,29,141,13,128,11,75,0,5,0,9,1,0,0,0,0,0,33:22,26:38
2002,6,2002-10-13,Jaguars,Titans,14,23,13,25,4,9,10,17,0,0,2,2,42,77,14,13,198,370,7,13,68,26,36,218,3,16,1,8,26,130,40,152,4,22,5,55,0,3,0,6,0,1,2,0,0,0,22:17,37:43
2002,6,2002-10-13,Raiders,Rams,13,28,20,19,3,11,4,11,0,2,0,0,66,56,17,16,367,322,30,45,302,14,21,164,4,30,3,22,17,65,32,158,14,107,11,82,0,6,0,6,1,1,2,0,0,0,28:14,31:46
2002,6,2002-10-13,Chiefs,Chargers,34,35,17,27,4,12,6,12,0,0,1,1,59,70,18,20,319,465,17,29,231,28,41,312,1,5,1,7,29,88,28,153,3,30,4,35,0,6,0,12,0,3,2,2,0,0,29:32,30:28
2002,6,2002-10-13,Dolphins,Broncos,24,22,16,27,5,11,6,16,0,0,0,0,53,75,18,17,259,410,19,29,201,27,46,299,1,9,3,36,23,58,26,111,8,42,9,70,0,7,0,6,1,1,1,2,2,0,25:55,34:05
2002,6,2002-10-14,49ers,Seahawks,28,21,24,24,7,12,10,15,0,0,0,0,62,62,11,14,351,334,16,29,190,21,31,211,2,12,1,1,31,161,30,123,8,51,10,80,0,7,0,8,0,0,0,2,0,1,29:31,30:29
2002,7,2002-10-20,Panthers,Falcons,0,30,12,25,3,11,5,11,0,2,1,1,51,67,15,9,205,393,9,26,104,20,27,206,4,22,1,8,21,101,39,187,6,40,9,65,0,3,0,2,0,0,1,0,0,0,19:52,40:08
2002,7,2002-10-20,Bears,Lions,20,23,17,23,6,12,3,12,0,0,1,1,59,70,16,16,224,362,16,25,135,16,29,170,3,28,2,29,31,89,39,192,5,40,10,79,0,5,0,6,2,1,1,0,0,0,29:22,35:26
2002,7,2002-10-20,Broncos,Chiefs,37,34,22,24,5,15,4,13,2,3,0,0,78,68,21,21,507,305,30,50,366,20,33,143,1,10,4,29,27,141,31,162,8,75,5,50,0,11,0,12,1,0,0,0,0,0,31:19,31:38
2002,7,2002-10-20,Seahawks,Rams,20,37,13,28,2,11,8,16,0,1,0,0,49,83,21,17,290,478,10,30,240,22,40,260,3,15,1,5,16,50,42,218,2,15,6,35,0,6,0,6,1,1,2,1,2,0,19:33,40:27
2002,7,2002-10-20,Bills,Dolphins,23,10,15,17,3,13,6,15,0,1,1,2,63,68,16,18,294,287,15,31,162,13,33,155,5,20,1,10,27,132,34,132,4,40,6,56,0,5,0,6,0,2,0,4,2,0,28:46,31:14
2002,7,2002-10-20,49ers,Saints,27,35,26,27,9,12,10,14,0,0,0,0,64,65,16,14,418,422,23,39,275,23,35,243,0,0,3,11,25,143,27,179,5,42,4,35,0,9,0,9,1,1,1,0,0,0,29:59,30:01
2002,7,2002-10-20,Vikings,Jets,7,20,21,21,7,11,6,13,0,0,0,0,62,60,13,10,389,407,26,39,288,24,29,316,0,0,2,8,23,101,29,91,6,60,4,45,0,7,0,4,1,0,3,0,0,0,26:15,33:45
2002,7,2002-10-20,Jaguars,Ravens,10,17,22,16,6,16,6,14,2,4,0,0,78,62,16,15,397,261,24,46,224,14,28,143,2,7,2,9,30,173,32,118,5,30,4,30,0,7,0,4,0,2,3,0,0,0,32:01,27:59
2002,7,2002-10-20,Texans,Browns,17,34,17,14,8,18,3,13,0,0,1,1,67,56,20,17,354,230,23,37,265,21,31,141,8,41,1,7,22,89,24,89,6,54,4,42,0,6,0,6,2,0,0,0,0,1,29:40,30:20
2002,7,2002-10-20,Chargers,Raiders,27,21,24,26,6,13,1,7,0,0,0,0,69,60,14,14,333,390,16,25,161,35,45,353,2,9,3,8,42,172,12,37,10,97,5,50,0,6,0,8,0,0,0,1,0,0,35:51,27:47
2002,7,2002-10-20,Commanders,Packers,9,30,19,19,3,10,4,12,0,1,0,1,64,55,18,14,238,243,10,24,92,20,29,155,6,43,1,12,34,146,25,88,11,129,11,95,0,8,0,8,4,1,0,0,0,0,30:59,29:01
2002,7,2002-10-20,Buccaneers,Eagles,10,20,15,14,3,13,4,14,0,0,0,0,65,61,17,15,207,269,23,38,126,12,25,110,6,29,2,17,21,81,34,159,7,59,8,56,0,3,0,6,1,1,1,1,2,0,28:47,31:13
2002,7,2002-10-20,Cowboys,Cardinals,6,9,14,22,2,12,9,21,0,0,0,0,60,85,15,15,342,380,13,22,194,23,46,228,2,8,1,4,36,148,38,152,6,59,2,15,0,3,0,2,0,1,4,0,0,0,30:57,40:53
2002,7,2002-10-21,Colts,Steelers,10,28,23,22,8,16,3,7,2,2,0,1,71,57,14,11,367,364,32,48,295,15,23,182,2,9,1,6,21,72,33,182,7,55,4,38,0,4,0,7,0,0,3,1,0,0,30:53,29:07
2002,8,2002-10-27,Lions,Bills,17,24,16,23,5,15,6,14,0,2,1,1,66,64,16,14,282,343,20,42,199,21,36,269,0,0,4,33,24,83,24,74,8,71,6,51,0,4,0,5,0,2,1,0,0,0,28:27,31:33
2002,8,2002-10-27,Titans,Bengals,30,24,20,22,4,11,5,11,0,0,0,1,55,63,15,17,342,384,16,27,208,17,23,193,1,7,0,0,27,134,40,191,7,40,9,81,0,8,0,10,1,1,0,0,0,0,26:05,33:55
2002,8,2002-10-27,Seahawks,Cowboys,17,14,18,17,10,16,3,9,0,0,0,1,66,54,12,14,267,237,19,31,170,12,24,132,1,7,2,13,34,97,28,105,6,57,5,55,0,5,0,3,0,1,2,0,0,0,32:05,27:55
2002,8,2002-10-27,Raiders,Chiefs,10,20,26,22,3,9,6,12,0,0,0,0,72,63,15,11,417,323,35,55,334,18,30,190,0,0,3,18,17,83,30,133,6,27,4,33,0,7,0,6,1,0,1,2,0,0,28:27,31:33
2002,8,2002-10-27,Bears,Vikings,7,25,12,24,3,10,7,14,0,2,1,1,49,74,15,13,218,364,16,31,174,22,30,216,6,30,0,0,12,44,44,148,6,33,11,65,0,5,0,5,1,1,2,0,0,0,18:57,41:03
2002,8,2002-10-27,Falcons,Saints,37,35,28,22,7,11,2,8,0,0,2,3,66,59,17,17,446,351,16,25,186,16,35,192,3,9,0,0,38,260,24,159,10,95,9,96,0,9,0,9,2,1,0,2,0,0,35:03,24:57
2002,8,2002-10-27,Browns,Jets,24,21,18,14,9,19,3,9,1,1,0,0,71,48,14,17,334,241,32,48,279,19,27,175,2,15,1,8,21,55,20,66,7,45,6,40,0,7,0,6,0,2,0,1,0,1,37:54,22:06
